2017-12-07 06:20:52.990 [12833] LOG_ALARM -----------------  log4z thread started!   ---------------------------- log4z.cpp:1923
2017-12-07 06:20:52.990 [12833] LOG_ALARM logger id=0 key=Main name=Main path=./log/ level=0 display=true log4z.cpp:1933
2017-12-07 06:20:53.040 [12832] LOG_TRACE format input *** LOGFMTT *** 123456 *** main.cpp:42
2017-12-07 06:20:53.040 [12832] LOG_DEBUG format input *** LOGFMTD *** 123456 *** main.cpp:43
2017-12-07 06:20:53.040 [12832] LOG_INFO format input *** LOGFMTI *** 123456 *** main.cpp:44
2017-12-07 06:20:53.040 [12832] LOG_WARN format input *** LOGFMTW *** 123456 *** main.cpp:45
2017-12-07 06:20:53.040 [12832] LOG_ERROR format input *** LOGFMTE *** 123456 *** main.cpp:46
2017-12-07 06:20:53.040 [12832] LOG_ALARM format input *** LOGFMTA *** 123456 *** main.cpp:47
2017-12-07 06:20:53.040 [12832] LOG_FATAL format input *** LOGFMTF *** 123456 *** main.cpp:48
2017-12-07 06:20:53.040 [12832] LOG_TRACE remote:127.0.0.1:1201,  local = 1201, dev_id=1 main.cpp:60
2017-12-07 06:20:53.040 [12832] LOG_TRACE state_client_start 127.0.0.1:1201 state_client.cpp:15
2017-12-07 06:20:53.041 [12832] LOG_TRACE 线程thread state client创建成功 state_client.cpp:29
2017-12-07 06:20:53.041 [12832] LOG_TRACE broadcast_server_start 1200 broadcast_server.cpp:22
2017-12-07 06:20:53.041 [12834] LOG_TRACE state_thread,  start state_client.cpp:70
2017-12-07 06:20:53.041 [12832] LOG_TRACE 线程thread broadcast server创建成功 broadcast_server.cpp:39
2017-12-07 06:20:53.041 [12835] LOG_TRACE broadcast_server_thread, thread broadcast server start broadcast_server.cpp:55
2017-12-07 06:20:53.041 [12835] LOG_TRACE pcm_out_init2
 pcm_io.cpp:81
2017-12-07 06:20:53.042 [12835] LOG_TRACE pcm_out_init2 end pcm_io.cpp:107
2017-12-07 06:20:53.042 [12835] LOG_TRACE broadcast_server_thread,   looping broadcast_server.cpp:82
2017-12-07 06:21:08.486 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.10%} broadcast_server.cpp:169
2017-12-07 06:21:19.346 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.14%} broadcast_server.cpp:169
2017-12-07 06:21:30.036 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:21:40.516 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.30%} broadcast_server.cpp:169
2017-12-07 06:21:51.006 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.30%} broadcast_server.cpp:169
2017-12-07 06:22:01.476 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.45%} broadcast_server.cpp:169
2017-12-07 06:22:12.026 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:22:32.206 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.08%} broadcast_server.cpp:169
2017-12-07 06:22:42.496 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.30%} broadcast_server.cpp:169
2017-12-07 06:22:53.256 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:23:03.516 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:23:14.026 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:23:25.166 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.14%} broadcast_server.cpp:169
2017-12-07 06:23:35.966 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.14%} broadcast_server.cpp:169
2017-12-07 06:23:46.528 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:23:56.905 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:24:07.535 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
